index,Job Title,Location,Size,Founded,Type of ownership,Industry,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Python,hadoop,job_title_sim,Degree
221,PL Actuarial Lead Data Scientist,"Worcester, MA",5001 - 10000 ,1852,Company   Public,Insurance Carriers,114,179,146.5,The Hanover Insurance Group,MA,1,0,data scientist,M
224,Senior Data & Machine Learning Scientist,"Chicago, IL",501 - 1000 ,2015,Company   Private,Biotech & Pharmaceuticals,100,166,133,Tempus Labs,IL,1,0,machine learning engineer,P
225,Principal Data Scientist (Computational Chemistry),"Salt Lake City, UT",51 - 200 ,2013,Company   Private,Biotech & Pharmaceuticals,108,173,140.5,Recursion Pharmaceuticals,UT,1,0,data scientist,None
228,"Principal Scientist, Chemistry & Immunology","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,54,115,84.5,Rochester Regional Health,NY,0,0,other scientist,P
230,"Scientist/Senior Scientist, Autoimmune","Cambridge, MA",201 - 500 ,2013,Company   Public,Biotech & Pharmaceuticals,90,179,134.5,Rubius Therapeutics,MA,0,0,other scientist,P
233,Staff Machine Learning Engineer,"San Francisco, CA",201 - 500 ,2007,Company   Private,Internet,138,224,181,Tapjoy,CA,1,0,machine learning engineer,None
234,"Principal Scientist, Hematology","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,54,115,84.5,Rochester Regional Health,NY,0,0,other scientist,P
235,Lead Data Engineer,"Mountain View, CA",51 - 200 ,2010,Company   Private,Internet,190,220,205,Credit Sesame,CA,1,0,data engineer,None
239,Marketing Data Analyst,"Highland, CA",1001 - 5000 ,1986,Company   Private,Gambling,35,62,48.5,San Manuel Casino,CA,0,0,analyst,M
240,Medical Laboratory Scientist,"Burleson, TX",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,37,52,44.5,Texas Health Huguley Hospital,TX,0,0,other scientist,None
243,Senior Research Scientist Machine Learning,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,167,124,Software Engineering Institute,PA,0,0,machine learning engineer,P
245,Analytics Manager   Data Mart,"Scotts Valley, CA",501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,42,86,64,Central California Alliance for Health,CA,0,0,Data scientist project manager,None
246,Sr. Data Engineer   Contract to Hire (Java),"Knoxville, TN",10000+ ,1958,Company   Private,Gas Stations,69,127,98,Pilot Flying J Travel Centers LLC,TN,1,0,data engineer,M
247,MED TECH/LAB SCIENTIST  SOUTH COASTAL LAB,"Millville, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,43,70,56.5,Beebe Healthcare,DE,0,0,other scientist,None
248,Food Scientist   Developer,"Milwaukee, WI",501 - 1000 ,1964,Company   Private,Food & Beverage Manufacturing,40,68,54,Palermo's Pizza,WI,0,0,other scientist,None
250,Staff Scientist Downstream Process Development,"Rockville, MD",201 - 500 ,1961,Company   Private,Biotech & Pharmaceuticals,49,113,81,Advanced BioScience Laboratories,MD,0,0,other scientist,P
251,Sr. Data Engineer,"Chicago, IL",1001 - 5000 ,2005,Company   Public,Transportation Management,75,140,107.5,Echo Global Logistics,IL,0,0,data engineer,None
253,Data Scientist   Quantitative,"Chicago, IL",501 - 1000 ,1995,Company   Private,Logistics & Supply Chain,86,139,112.5,Truckstop.com,IL,1,0,data scientist,M
254,Data Scientist,"Herndon, VA",10000+ ,1995,Company   Public,Aerospace & Defense,66,112,89,Lockheed Martin,VA,1,1,data scientist,None
255,Senior Research Statistician  Data Scientist,"Sheboygan, WI",1001 - 5000 ,1925,Company   Private,Insurance Carriers,76,125,100.5,Acuity Insurance,WI,0,0,data scientist,M
256,"Business Data Analyst, SQL","New York, NY",1001 - 5000 ,2002,Company   Private,Travel Agencies,44,86,65,Fareportal,NY,0,0,analyst,None
257,Medical Technologist / Clinical Laboratory Scientist,"New Orleans, LA",10000+ ,1930,Government,Federal Agencies,31,52,41.5,"Veterans Affairs, Veterans Health Administration",LA,0,0,other scientist,M
258,Data Scientist,"Dallas, TX",201 - 500 ,1999,Subsidiary or Business Segment,Consulting,53,92,72.5,Credera,TX,1,1,data scientist,M
259,Senior Data Analyst,"Clearwater, FL",501 - 1000 ,2010,Company   Private,Security Services,44,78,61,KnowBe4,FL,1,0,analyst,M
260,BI & Platform Analytics Manager,"Ewing, NJ",1001 - 5000 ,1846,Company   Public,Consumer Products Manufacturing,85,134,109.5,Church & Dwight,NJ,1,0,Data scientist project manager,M
262,Data Engineer,"Cambridge, MA",51 - 200 ,2005,Company   Private,Internet,59,110,84.5,Cogo Labs,MA,1,0,data engineer,None
263,Data Scientist,"Chicago, IL",51 - 200 ,1992,Company   Private,Advertising & Marketing,64,111,87.5,Spectrum Communications and Consulting,IL,0,0,data scientist,None
264,Data Analyst,"San Mateo, CA",1001 - 5000 ,1997,Company   Public,Video Games,65,120,92.5,NCSOFT,CA,1,1,analyst,None
265,Associate Data Scientist/Computer Scientist,"McLean, VA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,60,103,81.5,MITRE,VA,1,1,data scientist,None
266,Business Intelligence Analyst / Developer,"Dayton, OH",1001 - 5000 ,1981,Company   Private,Trucking,53,105,79,"Dayton Freight Lines, Inc.",OH,0,0,analyst,None
267,Lead Data Scientist,"Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,124,204,164,MassMutual,MA,1,1,data scientist,P
268,"Sr. Data Scientist   Analytics, Personalized Healthcare (PHC)","South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,131,207,169,Genentech,CA,1,1,data scientist,P
269,Senior Data Scientist,"Cupertino, CA",5001 - 10000 ,1996,Company   Public,Telecommunications Services,110,174,142,Juniper Networks,CA,1,0,data scientist,P
273,Pricipal Scientist Molecular and cellular biologist,"Boston, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,52,101,76.5,Takeda Pharmaceuticals,MA,0,0,other scientist,P
274,Data Analyst,"San Francisco, CA",51 - 200 ,2013,Company   Private,Enterprise Software & Network Solutions,48,90,69,TrueAccord,CA,1,0,analyst,None
275,Data Analyst,"Meridian, ID",201 - 500 ,1984,Company   Private,Computer Hardware & Software,34,64,49,DRB Systems,ID,1,0,analyst,None
276,Staff Data Scientist,"San Jose, CA",10000+ ,1970,Company   Public,Computer Hardware & Software,132,211,171.5,Western Digital,CA,1,1,data scientist,M
277,"Data Scientist (Actuary, FSA or ASA)","Frederick, MD",501 - 1000 ,1981,Company   Private,Insurance Carriers,81,133,107,Legal & General America,MD,1,0,data scientist,M
278,System and Data Analyst,"Cherry Hill, NJ",201 - 500 ,1996,Company   Private,Enterprise Software & Network Solutions,42,76,59,Corcentric,NJ,0,0,analyst,M
281,Data Scientist,"Indianapolis, IN",201 - 500 ,2019,Company   Private,IT Services,66,111,88.5,U.Group,IN,0,0,data scientist,M
284,Digital Health Data Scientist,"Cambridge, MA",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,63,110,86.5,Pfizer,MA,1,0,data scientist,None
285,Data Scientist,"Louisville, KY",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,63,105,84,SMC 3,KY,1,0,data scientist,M
288,Data & Analytics Consultant (NYC),"New York, NY",201 - 500 ,1992,Company   Private,Consulting,91,138,114.5,Systems Evolution Inc.,NY,1,0,data analitics,M
289,Senior Scientist   Neuroscience,"Marlborough, MA",1001 - 5000 ,2010,Company   Private,Biotech & Pharmaceuticals,100,190,145,Sunovion,MA,1,0,other scientist,P
290,Data Engineer,"Nashville, TN",1001 - 5000 ,2006,Company   Public,Internet,62,114,88,Eventbrite,TN,1,1,data engineer,None
291,Big Data Engineer   Chicago   Future Opportunity,"Chicago, IL",501 - 1000 ,2001,Company   Private,Internet,71,129,100,Centro,IL,1,1,data engineer,None
292,Senior Data Analyst,"Herndon, VA",201 - 500 ,1993,Nonprofit Organization,Colleges & Universities,43,80,61.5,National Student Clearinghouse,VA,1,0,analyst,M
293,Data Scientist,"Portland, OR",1001 - 5000 ,1999,Company   Public,Advertising & Marketing,74,119,96.5,comScore,OR,1,0,data scientist,None
295,Survey Data Analyst,"Minneapolis, MN",201 - 500 ,1992,Company   Private,Consulting,55,97,76,SullivanCotter,MN,1,0,analyst,None
296,Data Scientist,"Port Washington, NY",1001 - 5000 ,1966,Company   Private,Research & Development,15,16,15.5,NPD,NY,0,0,data scientist,None
300,"Risk and Analytics IT, Data Scientist","Madison, WI",51 - 200 ,1951,Government,Investment Banking & Asset Management,91,149,120,State of Wisconsin Investment Board,WI,1,0,data scientist,None
302,Data Scientist,"South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,127,199,163,Genentech,CA,0,0,data scientist,M
305,Lead Health Data Analyst   Front End,"Providence, RI",501 - 1000 ,1939,Nonprofit Organization,Insurance Carriers,74,126,100,Blue Cross & Blue Shield of Rhode Island,RI,0,0,analyst,None
306,Research Scientist,"Omaha, NE",1001 - 5000 ,1917,Nonprofit Organization,Social Assistance,33,72,52.5,Boys Town,NE,0,0,other scientist,P
307,Medical Lab Scientist,"West Reading, PA",5001 - 10000 ,2017,Nonprofit Organization,Health Care Services & Hospitals,35,49,42,Tower Health,PA,0,0,other scientist,None
308,Junior Data Analyst,"Washington, DC",501 - 1000 ,1883,Nonprofit Organization,Health Care Services & Hospitals,37,63,50,The HSC Health Care System,DC,0,0,analyst,M
309,SQL Data Engineer,"Austin, TX",201 - 500 ,2006,Company   Private,Consulting,67,119,93,Pro-Sphere Tek,TX,1,1,data engineer,M
310,Data Scientist,"Cincinnati, OH",1001 - 5000 ,1887,Company   Private,Insurance Agencies & Brokerages,72,117,94.5,Ameritas Life Insurance Corp,OH,1,0,data scientist,None
311,Senior Data Scientist,"San Francisco, CA",5001 - 10000 ,1982,Company   Public,Computer Hardware & Software,116,185,150.5,Autodesk,CA,1,1,data scientist,P
312,Data Scientist,"Raleigh, NC",1001 - 5000 ,2004,Company   Public,Insurance Carriers,78,126,102,Genworth,NC,1,1,data scientist,M
313,"Scientist, Analytical Development","Cambridge, MA",201 - 500 ,2013,Company   Public,Biotech & Pharmaceuticals,42,82,62,Rubius Therapeutics,MA,0,0,other scientist,P
314,Analytics Manager,"Dearborn, MI",201 - 500 ,1967,Company   Private,Advertising & Marketing,59,116,87.5,OneMagnify,MI,0,0,Data scientist project manager,None
316,Clinical Data Scientist,"Groton, CT",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,63,105,84,Pfizer,CT,0,0,data scientist,M
317,Data Scientist,"Herndon, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,109,177,143,Novetta,VA,1,0,data scientist,None
319,Data Engineer,"Winter Park, FL",51 - 200 ,2006,Company   Public,Advertising & Marketing,48,95,71.5,IZEA,FL,1,1,data engineer,None
320,Data Scientist,"Oakland, CA",51 - 200 ,2000,Company   Private,Insurance Carriers,83,133,108,Trace Data,CA,1,0,data scientist,M
322,Sr. Scientist   Digital & Image Analysis/Computational Pathology,"San Diego, CA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,105,198,151.5,Takeda Pharmaceuticals,CA,0,0,other scientist,M
323,Digital Marketing & ECommerce Data Analyst,"San Rafael, CA",51 - 200 ,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",31,72,51.5,Vionic Group,CA,0,0,analyst,None
324,Principal Scientist   Immunologist,"Boston, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,98,182,140,Takeda Pharmaceuticals,MA,0,0,other scientist,M
325,Senior Data Analyst,"Hamilton, NJ",201 - 500 ,2014,Company   Private,IT Services,55,100,77.5,Dodge Data & Analytics,NJ,1,0,analyst,None
326,Insurance Financial Data Analyst,"Boise, ID",501 - 1000 ,2004,Company   Private,Investment Banking & Asset Management,45,82,63.5,Clearwater Analytics,ID,0,0,analyst,None
330,Data Scientist,"Oak Ridge, TN",5001 - 10000 ,1850,Company   Public,Aerospace & Defense,70,122,96,BWX Technologies,TN,1,0,data scientist,M
331,Principal Data Scientist with over 10 years experience,"San Francisco, CA",51 - 200 ,2017,Company   Private,IT Services,200,250,225,CA-One Tech Clou,CA,1,0,data scientist,None
332,Data Engineer,"Agoura Hills, CA",1001 - 5000 ,2008,Company   Public,Lending,70,132,101,PennyMac,CA,1,0,data engineer,None
333,Senior Data Scientist,"Woodbridge, NJ",1001 - 5000 ,1982,Company   Private,Insurance Carriers,73,124,98.5,Plymouth Rock Assurance,NJ,0,0,data scientist,M
334,Data Engineer I   Azure,"Pella, IA",1001 - 5000 ,1948,Company   Private,Industrial Manufacturing,54,101,77.5,Vermeer,IA,0,1,data engineer,None
335,"Sr. Scientist, Quantitative Translational Sciences","Boston, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,117,206,161.5,Takeda Pharmaceuticals,MA,0,0,other scientist,M
337,MED TECH/LAB SCIENTIST   LABORATORY,"Lewes, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,43,70,56.5,Beebe Healthcare,DE,0,0,other scientist,None
339,Sr. Data Scientist II,"New York, NY",1001 - 5000 ,1948,Company   Public,Insurance Carriers,111,183,147,Argo Group US,NY,1,1,data scientist,None
341,Data Scientist,"San Ramon, CA",10000+ ,1997,Company   Public,IT Services,68,112,90,L&T Infotech,CA,1,0,data scientist,None
342,Information Security Data Analyst,"Red Bank, NJ",501 - 1000 ,1902,Company   Public,Banks & Credit Unions,42,74,58,OceanFirst Financial,NJ,0,0,analyst,None
344,Excel / VBA / SQL Data Analyst,"Springfield, MO",501 - 1000 ,1961,Company   Private,Energy,44,78,61,Associated Electric Cooperative,MO,0,0,analyst,M
346,Machine Learning Research Scientist,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,159,120,Software Engineering Institute,PA,1,0,machine learning engineer,P
347,Data Scientist,"New York, NY",1001 - 5000 ,1744,Company   Public,Auctions & Galleries,95,161,128,Sotheby's,NY,1,0,data scientist,None
348,Data Scientist,"Hillsboro, OR",1001 - 5000 ,1952,Company   Private,Banks & Credit Unions,75,124,99.5,First Tech Federal Credit Union,OR,1,0,data scientist,None
349,Data Scientist,"Detroit, MI",1001 - 5000 ,1997,Company   Private,Real Estate,72,120,96,Amrock,MI,1,0,data scientist,M
350,Data Scientist,"Washington, DC",201 - 500 ,2003,Company   Public,Biotech & Pharmaceuticals,76,126,101,Vanda Pharmaceuticals,DC,1,0,data scientist,M
351,Senior Data Scientist,"Burbank, CA",51 - 200 ,2009,Company   Private,Financial Analytics & Research,114,182,148,Zest AI,CA,1,0,data scientist,M
352,"Data Scientist, Senior","Fort Belvoir, VA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,108,176,142,Novetta,VA,1,0,data scientist,None
354,"VP, Data Science","Phoenix, AZ",1001 - 5000 ,2008,Company   Public,Lending,83,166,124.5,PennyMac,AZ,1,0,data scientist,None
355,Radar Data Analyst,"Huntsville, AL",51 - 200 ,1996,Company   Private,Aerospace & Defense,42,76,59,DECISIVE ANALYTICS Corporation,AL,1,0,analyst,None
356,CONSULTANT– DATA ANALYTICS GROUP,"San Diego, CA",51 - 200 ,1987,Company   Private,Consulting,37,68,52.5,Opinion Dynamics,CA,1,0,data analitics,None
357,Data Engineer,"Houston, TX",501 - 1000 ,1982,Company   Private,IT Services,52,99,75.5,Applied Information Sciences,TX,0,1,data engineer,None
358,Senior Data Scientist,"Armonk, NY",10000+ ,1863,Company   Public,Insurance Agencies & Brokerages,105,173,139,Swiss Re,NY,1,0,data scientist,M
362,"Data Engineer, Data Engineering and Artifical Intelligence","Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,71,134,102.5,Takeda Pharmaceuticals,MA,1,1,data engineer,None
364,Staff Scientist,"Columbia, SC",201 - 500 ,1929,Company   Private,Architectural & Engineering Services,39,82,60.5,WK Dickson,SC,0,0,other scientist,None
366,PL Actuarial Lead Data Scientist,"Worcester, MA",5001 - 10000 ,1852,Company   Public,Insurance Carriers,114,179,146.5,The Hanover Insurance Group,MA,1,0,data scientist,M
367,"Associate Scientist/Scientist, Process Analytical Technology   Small Molecule Analytical Chemistry","South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,88,162,125,Genentech,CA,0,0,other scientist,P
368,Sr. Data Analyst,"Springfield, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,60,102,81,MassMutual,MA,1,0,analyst,None
369,Senior Data & Machine Learning Scientist,"Chicago, IL",501 - 1000 ,2015,Company   Private,Biotech & Pharmaceuticals,100,166,133,Tempus Labs,IL,1,0,machine learning engineer,P
370,Program/Data Analyst,"Washington, DC",10000+ ,1996,Subsidiary or Business Segment,IT Services,55,99,77,General Dynamics Information Technology,DC,0,0,analyst,M
371,Data Engineer,"Herndon, VA",5001 - 10000 ,1968,Company   Public,Research & Development,67,117,92,ManTech,VA,0,1,data engineer,None
372,Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,"Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,92,150,121,Novartis,MA,0,0,data scientist,None
375,"Principal Data Engineer, Data Platform & Insights","San Francisco, CA",5001 - 10000 ,1982,Company   Public,Computer Hardware & Software,116,209,162.5,Autodesk,CA,1,0,data engineer,None
376,RESEARCH SCIENTIST   BIOLOGICAL SAFETY,"San Antonio, TX",1001 - 5000 ,1947,Nonprofit Organization,Research & Development,38,82,60,Southwest Research Institute,TX,0,0,other scientist,None
380,Data Scientist / Machine Learning Expert,"Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,86,143,114.5,Novartis,MA,1,0,data scientist,None
381,Data Scientist,"Sunnyvale, CA",5001 - 10000 ,1996,Company   Public,Telecommunications Services,93,149,121,Juniper Networks,CA,1,0,data scientist,M
382,Senior Data Scientist,"Dallas, TX",501 - 1000 ,1993,Subsidiary or Business Segment,Advertising & Marketing,84,136,110,The Integer Group,TX,0,0,data scientist,M
384,Clinical Data Analyst,"Portsmouth, VA",5001 - 10000 ,1968,Company   Public,Research & Development,52,89,70.5,ManTech,VA,0,0,analyst,None
387,Computational Chemist/Data Scientist,"Richland, WA",1001 - 5000 ,1965,Government,Energy,56,97,76.5,PNNL,WA,1,0,data scientist,P
388,Data Engineer,"Springfield, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,65,119,92,MassMutual,MA,1,0,data engineer,None
390,Principal Data Scientist (Computational Chemistry),"Salt Lake City, UT",51 - 200 ,2013,Company   Private,Biotech & Pharmaceuticals,108,173,140.5,Recursion Pharmaceuticals,UT,1,0,data scientist,None
391,Product Engineer – Data Science,"Arlington, VA",1001 - 5000 ,1969,Company   Private,Computer Hardware & Software,63,101,82,Esri,VA,1,0,data scientist,M
392,"Principal Scientist, Chemistry & Immunology","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,54,115,84.5,Rochester Regional Health,NY,0,0,other scientist,P
394,"Scientist/Senior Scientist, Autoimmune","Cambridge, MA",201 - 500 ,2013,Company   Public,Biotech & Pharmaceuticals,90,179,134.5,Rubius Therapeutics,MA,0,0,other scientist,P
396,Data Scientist,"San Francisco, CA",201 - 500 ,2008,Company   Private,Advertising & Marketing,127,202,164.5,Samba TV,CA,0,0,data scientist,None
397,Market Data Analyst,"West Palm Beach, FL",201 - 500 ,1991,Company   Public,Telecommunications Manufacturing,31,57,44,SV Microwave,FL,0,0,analyst,M
400,Staff Data Engineer,"Austin, TX",501 - 1000 ,2010,Company   Private,Computer Hardware & Software,105,194,149.5,Sumo Logic,TX,0,0,data engineer,M
401,Associate Data Engineer,"Washington, DC",1001 - 5000 ,2007,Company   Private,Research & Development,45,86,65.5,EAB,DC,0,0,data engineer,M
403,Senior Data Scientist,"Charlotte, NC",1001 - 5000 ,2017,Company   Public,Insurance Carriers,95,154,124.5,Brighthouse Financial,NC,1,0,data scientist,M
406,Staff BI and Data Engineer,"San Jose, CA",51 - 200 ,1998,Company   Private,Advertising & Marketing,80,148,114,Affinity Solutions,CA,1,0,data engineer,M
407,Marketing Data Analyst,"Exton, PA",501 - 1000 ,1937,Nonprofit Organization,Banks & Credit Unions,36,62,49,Citadel Federal Credit Union,PA,1,0,analyst,None
409,"Principal Scientist, Hematology","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,54,115,84.5,Rochester Regional Health,NY,0,0,other scientist,P
410,Data Analyst,"Alexandria, VA",501 - 1000 ,1989,Company   Private,IT Services,50,92,71,CALIBRE Systems,VA,0,0,analyst,None
411,"Director   Data, Privacy and AI Governance","Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,67,135,101,MassMutual,MA,0,0,director,None
412,Data Scientist,"Redlands, CA",1001 - 5000 ,1969,Company   Private,Computer Hardware & Software,82,132,107,Esri,CA,1,1,data scientist,M
413,Data Scientist,"Ipswich, MA",201 - 500 ,1974,Company   Private,Biotech & Pharmaceuticals,85,140,112.5,New England Biolabs,MA,1,0,data scientist,None
414,Staff Machine Learning Engineer,"San Francisco, CA",201 - 500 ,2007,Company   Private,Internet,138,224,181,Tapjoy,CA,1,0,machine learning engineer,None
415,Information Security Data Analyst,"Chicago, IL",10000+ ,1928,Company   Public,Computer Hardware & Software,42,80,61,Motorola Solutions,IL,1,1,analyst,M
416,Lead Data Engineer,"Mountain View, CA",51 - 200 ,2010,Company   Private,Internet,190,220,205,Credit Sesame,CA,1,0,data engineer,None
417,Scientist Manufacturing   Kentucky BioProcessing,"Owensboro, KY",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,68,139,103.5,Reynolds American,KY,0,0,other scientist,None
419,Data Analytics Project Manager,"Springfield, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,34,92,63,MassMutual,MA,0,0,Data scientist project manager,M
420,Consultant   Analytics Consulting,"Hartford, CT",10000+ ,1981,Company   Public,IT Services,54,71,62.5,Infosys,CT,0,0,data analitics,None
421,Data Engineer,"Orange, CA",501 - 1000 ,2013,Company   Private,Health Care Services & Hospitals,65,124,94.5,Alignment Healthcare,CA,1,1,data engineer,M
425,Marketing Data Analyst,"Highland, CA",1001 - 5000 ,1986,Company   Private,Gambling,35,62,48.5,San Manuel Casino,CA,0,0,analyst,M
426,Senior Scientist (Neuroscience),"Marlborough, MA",1001 - 5000 ,2010,Company   Private,Biotech & Pharmaceuticals,109,200,154.5,Sunovion,MA,1,0,other scientist,P
427,Medical Laboratory Scientist,"Burleson, TX",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,37,52,44.5,Texas Health Huguley Hospital,TX,0,0,other scientist,None
428,Machine Learning Engineer   Regulatory,"Lenexa, KS",501 - 1000 ,1973,Company   Public,Stock Exchanges,61,113,87,Cboe Global Markets,KS,1,1,machine learning engineer,None
430,Data Engineer,"New York, NY",501 - 1000 ,2003,Company   Private,Research & Development,43,86,64.5,Guidepoint,NY,1,0,data engineer,None
433,"Associate Director, Platform and DevOps  Data Engineering and Aritifical Intelligence","Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,113,196,154.5,Takeda Pharmaceuticals,MA,0,1,data engineer,M
434,Senior Research Scientist Machine Learning,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,167,124,Software Engineering Institute,PA,0,0,machine learning engineer,P
435,Senior Data Scientist,"Chicago, IL",201 - 500 ,2008,Company   Private,Consulting,97,160,128.5,Maven Wave Partners,IL,1,1,data scientist,None
437,Clinical Laboratory Scientist,"Vail, CO",501 - 1000 ,1966,Hospital,Health Care Services & Hospitals,49,81,65,Vail Health,CO,0,0,other scientist,None
442,Analytics Manager   Data Mart,"Scotts Valley, CA",501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,42,86,64,Central California Alliance for Health,CA,0,0,Data scientist project manager,None
443,Sr. Data Engineer   Contract to Hire (Java),"Knoxville, TN",10000+ ,1958,Company   Private,Gas Stations,69,127,98,Pilot Flying J Travel Centers LLC,TN,1,0,data engineer,M
444,Data Scientist   Algorithms & Inference,"San Francisco, CA",51 - 200 ,2010,Company   Private,Enterprise Software & Network Solutions,110,175,142.5,Nuna,CA,0,0,data scientist,M
446,Senior Data Scientist   R&D Oncology,"New York, NY",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,102,172,137,AstraZeneca,NY,1,0,data scientist,P
447,Data Engineer,"Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,74,124,99,Pinnacol Assurance,CO,1,0,data engineer,M
448,Food Scientist   Developer,"Milwaukee, WI",501 - 1000 ,1964,Company   Private,Food & Beverage Manufacturing,40,68,54,Palermo's Pizza,WI,0,0,other scientist,None
449,Senior Data Scientist,"Natick, MA",1001 - 5000 ,1984,Company   Private,Computer Hardware & Software,108,171,139.5,MathWorks,MA,1,0,data scientist,M
450,Data Engineer,"Rockville, MD",201 - 500 ,1999,Company   Private,IT Services,76,142,109,MetroStar Systems,MD,0,0,data engineer,M
452,"Director II, Data Science   GRM Actuarial","Chicago, IL",10000+ ,1912,Company   Private,Insurance Carriers,202,306,254,Liberty Mutual Insurance,IL,1,0,data scientist,M
454,"Scientist, Molecular/Cellular Biologist","South San Francisco, CA",201 - 500 ,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,49,97,73,Audentes Therapeutics,CA,0,0,other scientist,P
455,Staff Scientist Downstream Process Development,"Rockville, MD",201 - 500 ,1961,Company   Private,Biotech & Pharmaceuticals,49,113,81,Advanced BioScience Laboratories,MD,0,0,other scientist,P
456,MED TECH/LAB SCIENTIST  SOUTH COASTAL LAB,"Millville, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,43,70,56.5,Beebe Healthcare,DE,0,0,other scientist,None
458,Scientist   Analytical Services,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,65,134,99.5,Reynolds American,NC,0,0,other scientist,None
459,Associate Data Analyst  Graduate Development Program,"Richfield, OH",501 - 1000 ,1989,Company   Private,Insurance Carriers,32,59,45.5,National Interstate,OH,0,0,analyst,None
461,Sr. Data Engineer,"Indianapolis, IN",51 - 200 ,1996,Company   Private,Consulting,87,158,122.5,Moser Consulting,IN,1,1,data engineer,None
462,Senior Insurance Data Scientist,"Chicago, IL",5001 - 10000 ,1968,Company   Public,Financial Analytics & Research,107,173,140,TransUnion,IL,1,0,data scientist,None
463,Senior Data Science Systems Engineer,"Hampton, VA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,56,99,77.5,MITRE,VA,0,0,data scientist,P
466,Senior Scientist   Regulatory Submissions,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,80,155,117.5,Reynolds American,NC,0,0,other scientist,M
467,Scientist   Biomarker and Flow Cytometry,"San Diego, CA",501 - 1000 ,2006,Company   Private,Biotech & Pharmaceuticals,43,98,70.5,Crown Bioscience,CA,0,0,other scientist,M
468,Revenue Analytics Manager,"San Francisco, CA",51 - 200 ,2011,Company   Private,Computer Hardware & Software,45,78,61.5,HOVER,CA,0,0,Data scientist project manager,None
469,"Associate Scientist, LC/MS Biologics","Ithaca, NY",1001 - 5000 ,2015,Company   Private,Biotech & Pharmaceuticals,44,96,70,Q2 Solutions,NY,0,0,other scientist,None
470,Sr. Scientist Method Development,"Marietta, GA",1001 - 5000 ,2015,Company   Private,Biotech & Pharmaceuticals,50,110,80,Q2 Solutions,GA,0,0,other scientist,None
471,IT   Data Engineer II,"Quincy, MA",1001 - 5000 ,1988,Company   Private,Insurance Carriers,61,119,90,Arbella Insurance,MA,0,1,data engineer,None
